ticker,earnings_date,fiscalDateEnding,reportedEPS,estimatedEPS,surprise,surprisePercentage
AAPL,2025-10-30,2025-09-30,1.85,1.76,0.09,5.1136
AAPL,2025-07-31,2025-06-30,1.57,1.43,0.14,9.7902
AAPL,2025-05-01,2025-03-31,1.65,1.62,0.03,1.8519
AAPL,2025-01-30,2024-12-31,2.4,2.34,0.06,2.5641
AAPL,2024-10-31,2024-09-30,0.97,0.95,0.02,2.1053
AAPL,2024-08-01,2024-06-30,1.4,1.34,0.06,4.4776
AAPL,2024-05-02,2024-03-31,1.53,1.5,0.03,2
AAPL,2024-02-01,2023-12-31,2.18,2.11,0.07,3.3175
AAPL,2023-11-02,2023-09-30,1.46,1.39,0.07,5.036
AAPL,2023-08-03,2023-06-30,1.26,1.19,0.07,5.8824
AAPL,2023-05-04,2023-03-31,1.52,1.43,0.09,6.2937
AAPL,2023-02-02,2022-12-31,1.88,1.95,-0.07,-3.5897
AAPL,2022-10-27,2022-09-30,1.29,1.27,0.02,1.5748
AAPL,2022-07-28,2022-06-30,1.2,1.15,0.05,4.3478
AAPL,2022-04-28,2022-03-31,1.52,1.43,0.09,6.2937
AAPL,2022-01-27,2021-12-31,2.1,1.89,0.21,11.1111
AAPL,2021-10-28,2021-09-30,1.24,1.24,0,0
AAPL,2021-07-27,2021-06-30,1.3,1.01,0.29,28.7129
AAPL,2021-04-28,2021-03-31,1.4,0.98,0.42,42.8571
AAPL,2021-01-27,2020-12-31,1.68,1.42,0.26,18.3099
AAPL,2020-10-29,2020-09-30,0.73,0.7,0.03,4.2857
AAPL,2020-07-30,2020-06-30,0.65,0.51,0.14,27.451
AAPL,2020-04-30,2020-03-31,0.64,0.56,0.08,14.2857
AAPL,2020-01-28,2019-12-31,1.25,1.14,0.11,9.6491
AAPL,2019-10-30,2019-09-30,0.76,0.71,0.05,7.0423
AAPL,2019-07-30,2019-06-30,0.55,0.53,0.02,3.7736
AAPL,2019-04-30,2019-03-31,0.62,0.59,0.03,5.0847
AAPL,2019-01-29,2018-12-31,1.05,1.04,0.01,0.9615
MSFT,2025-10-29,2025-09-30,3.72,3.66,0.06,1.6393
MSFT,2025-07-30,2025-06-30,3.65,3.38,0.27,7.9882
MSFT,2025-04-30,2025-03-31,3.46,3.22,0.24,7.4534
MSFT,2025-01-29,2024-12-31,3.23,3.1,0.13,4.1935
MSFT,2024-10-30,2024-09-30,3.3,3.11,0.19,6.1093
MSFT,2024-07-30,2024-06-30,2.95,2.93,0.02,0.6826
MSFT,2024-04-25,2024-03-31,2.94,2.82,0.12,4.2553
MSFT,2024-01-30,2023-12-31,2.93,2.78,0.15,5.3957
MSFT,2023-10-24,2023-09-30,2.99,2.65,0.34,12.8302
MSFT,2023-07-25,2023-06-30,2.69,2.55,0.14,5.4902
MSFT,2023-04-25,2023-03-31,2.45,2.23,0.22,9.8655
MSFT,2023-01-24,2022-12-31,2.32,2.29,0.03,1.31
MSFT,2022-10-25,2022-09-30,2.35,2.3,0.05,2.1739
MSFT,2022-07-26,2022-06-30,2.23,2.29,-0.06,-2.6201
MSFT,2022-04-26,2022-03-31,2.22,2.19,0.03,1.3699
MSFT,2022-01-25,2021-12-31,2.48,2.31,0.17,7.3593
MSFT,2021-10-26,2021-09-30,2.27,2.07,0.2,9.6618
MSFT,2021-07-27,2021-06-30,2.17,1.92,0.25,13.0208
MSFT,2021-04-27,2021-03-31,1.95,1.78,0.17,9.5506
MSFT,2021-01-26,2020-12-31,2.03,1.64,0.39,23.7805
MSFT,2020-10-27,2020-09-30,1.82,1.54,0.28,18.1818
MSFT,2020-07-22,2020-06-30,1.46,1.34,0.12,8.9552
MSFT,2020-04-29,2020-03-31,1.4,1.26,0.14,11.1111
MSFT,2020-01-29,2019-12-31,1.51,1.32,0.19,14.3939
MSFT,2019-10-23,2019-09-30,1.38,1.25,0.13,10.4
MSFT,2019-07-18,2019-06-30,1.37,1.21,0.16,13.2231
MSFT,2019-04-24,2019-03-31,1.14,1,0.14,14
MSFT,2019-01-30,2018-12-31,1.1,1.09,0.01,0.9174
